-0.0238,0.008,0.9997,0.0,0.0,0.0,0.0
-0.0251,0.0047,0.9997,0.0,0.0,0.0,0.013
-0.0188,0.0056,0.9998,0.0,0.0,0.0,0.013
-0.0221,0.0101,0.9997,0.0,0.0,0.0,0.013
-0.018,0.0076,0.9998,0.0,0.0,0.0,0.013
-0.021,0.0066,0.9998,0.0,0.0,0.0,0.013
-0.023,0.0109,0.9997,0.0,0.0,0.0,0.013
-0.0275,0.0093,0.9996,0.0,0.0,0.0,0.013
-0.0274,0.0116,0.9996,0.0,0.0,0.0,0.013
-0.0261,0.01,0.9996,0.0,0.0,0.0,0.013
-0.0149,-0.0007,0.9999,0.0,0.0,0.0,0.013
-0.0195,-0.0015,0.9998,0.0,0.0,0.0,0.0133
-0.0276,0.0,0.9996,0.0,0.0,0.0,0.0133
-0.0266,0.0049,0.9996,0.0,0.0,0.0,0.013
-0.0213,0.0153,0.9997,0.0,0.0,0.0,0.013
-0.0262,0.007,0.9996,0.0,0.0,0.0,0.013
-0.0267,-0.0005,0.9996,0.0,0.0,0.0,0.013
-0.0421,-0.0022,0.9991,0.0,0.0,0.0,0.0133
-0.0167,-0.0142,0.9998,0.0,0.0,0.0,0.0133
-0.0203,0.0065,0.9998,0.0,0.0,0.0,0.0133
-0.0263,0.0106,0.9996,0.0,0.0,0.0,0.013
-0.0323,0.0139,0.9994,0.0,0.0,0.0,0.013
-0.0355,0.0216,0.9991,0.0,0.0,0.0,0.013
-0.0164,0.0106,0.9998,0.0,0.0,0.0,0.013
-0.0241,0.0017,0.9997,0.0,0.0,0.0,0.013
-0.0297,0.0094,0.9995,0.0,0.0,0.0,0.013
-0.0195,0.0059,0.9998,0.0,0.0,0.0,0.013
-0.0206,0.0056,0.9998,0.0,0.0,0.0,0.013
-0.0226,-0.0012,0.9997,0.0,0.0,0.0,0.013
-0.0301,0.0034,0.9995,0.0,0.0,0.0,0.0133
-0.026,0.0012,0.9997,0.0,0.0,0.0,0.013
-0.0208,-0.0027,0.9998,0.0,0.0,0.0,0.013
-0.0235,0.0056,0.9997,0.0,0.0,0.0,0.0133
-0.0224,0.0107,0.9997,0.0,0.0,0.0,0.013
-0.0206,0.0039,0.9998,0.0,0.0,0.0,0.013
-0.0231,0.008,0.9997,0.0,0.0,0.0,0.013
-0.0216,0.0056,0.9998,0.0,0.0,0.0,0.013
-0.0221,0.0133,0.9997,0.0,0.0,0.0,0.013
-0.0217,0.0007,0.9998,0.0,0.0,0.0,0.013
-0.0211,0.0007,0.9998,0.0,0.0,0.0,0.013
